bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF424SDM	195	ENCFF814QLD	195	H3K27ac-human	neuralcelloriginatedfromH1	ENCSR124VOE
ENCFF945CWL	215	ENCFF814QLD	195	H3K27ac-human	neuralcelloriginatedfromH1	ENCSR124VOE
ENCFF079UNB	210	ENCFF246VDV	900	H3K27ac-human	sigmoidcolonmaleadult37years	ENCSR807XUB
ENCFF290TMA	250	ENCFF746ZRB	110	H3K27ac-human	spleenfemaleadult53years	ENCSR726HTS
ENCFF701UDN	190	ENCFF746ZRB	110	H3K27ac-human	spleenfemaleadult53years	ENCSR726HTS
ENCFF737FZT	230	ENCFF567KKK	185	H3K27ac-human	A673	ENCSR714TJD
ENCFF918ACD	250	ENCFF567KKK	185	H3K27ac-human	A673	ENCSR714TJD
ENCFF632ZGH	200	ENCFF110BDU	455	H3K27ac-human	Peyerspatchfemaleadult53years	ENCSR837SGJ
ENCFF241TGJ	245	ENCFF078AVO	305	H3K27ac-human	spleenfemaleadult51years	ENCSR668GBL
ENCFF453XSS	225	ENCFF078AVO	305	H3K27ac-human	spleenfemaleadult51years	ENCSR668GBL
ENCFF269POL	215	ENCFF975UDA	1355	H3K27ac-human	esophagussquamousepitheliummaleadult54years	ENCSR463NAD
ENCFF572KGX	205	ENCFF474SYV	150	H3K27ac-human	OCILY1	ENCSR597UDW
ENCFF241NJQ	210	ENCFF474SYV	150	H3K27ac-human	OCILY1	ENCSR597UDW
ENCFF952HHU	200	ENCFF305KDB	240	H3K27ac-human	esophagussquamousepitheliumfemaleadult53years	ENCSR909UAG
ENCFF534NCP	200	ENCFF298NLV	125	H3K27ac-human	skeletalmusclemyoblastmaleadult22years	ENCSR000ANF
ENCFF191YSM	160	ENCFF298NLV	125	H3K27ac-human	skeletalmusclemyoblastmaleadult22years	ENCSR000ANF
ENCFF435RWI	190	ENCFF823LEI	100	H3K27ac-human	rightlobeofliverfemaleadult53years	ENCSR981UJA
ENCFF756TNK	220	ENCFF823LEI	100	H3K27ac-human	rightlobeofliverfemaleadult53years	ENCSR981UJA
ENCFF199VLG	250	ENCFF410WPD	505	H3K27ac-human	rightatriumauricularregionfemaleadult51years	ENCSR668EVA
ENCFF450FDW	245	ENCFF410WPD	505	H3K27ac-human	rightatriumauricularregionfemaleadult51years	ENCSR668EVA
ENCFF931FQR	215	ENCFF663JWI	205	H3K27ac-human	upperlobeofleftlungmaleadult37years	ENCSR505YFA
ENCFF563DBT	240	ENCFF163YFX	100	H3K27ac-human	upperlobeofleftlungfemaleadult53years	ENCSR738SXD
ENCFF553ZRK	235	ENCFF054TED	90	H3K27ac-human	testismaleadult54years	ENCSR954IGQ
ENCFF982AKR	230	ENCFF665FWN	460	H3K27ac-human	transversecolonfemaleadult53years	ENCSR208QRN
ENCFF694OCO	165	ENCFF665FWN	460	H3K27ac-human	transversecolonfemaleadult53years	ENCSR208QRN
ENCFF616SPS	225	ENCFF584UYW	180	H3K27ac-human	gastroesophagealsphinctermaleadult54years	ENCSR195JWZ
ENCFF128VGR	230	ENCFF299AOC	505	H3K27ac-human	ascendingaortafemaleadult53years	ENCSR069UMW
